a1s a2s b1s b2s a1f a2f b1f b2f |a|_s |b|_s |a|_f |b|_f area angle_ab max(Da,Db,Da+Db)
-4 -1 -3 -3 -4 -1 0 -4 11.72 9.75 11.70 10.21 82 46 0.052438
-3 0 -4 -3 -4 0 -1 -4 9.75 11.72 10.21 11.70 82 46 0.052479
-3 0 -3 -3 -4 0 0 -4 9.75 9.75 10.21 10.21 82 60 0.047385
-3 0 0 -3 -4 0 4 -4 9.75 9.75 10.21 10.21 82 119 0.047385
3 0 0 3 4 0 -4 4 9.75 9.75 10.21 10.21 82 119 0.047385
3 0 3 3 4 0 0 4 9.75 9.75 10.21 10.21 82 60 0.047385
3 0 4 3 4 0 1 4 9.75 11.72 10.21 11.70 82 46 0.052479
4 1 3 3 4 1 0 4 11.72 9.75 11.70 10.21 82 46 0.052438
-4 -3 0 -3 -1 -4 4 -4 11.72 9.75 11.70 10.21 109 73 0.061755
-4 -1 0 -3 -4 -1 4 -4 11.72 9.75 11.70 10.21 109 106 0.052438
4 1 0 3 4 1 -4 4 11.72 9.75 11.70 10.21 109 106 0.052438
4 3 0 3 1 4 -4 4 11.72 9.75 11.70 10.21 109 73 0.061755
